Household Key,Mail Responder,Motorcycle Indicator,Income,Credit Ranges,age,Number of Children,Num Vehicles Owned,FSV Services Purchased,Home Owner_Probable Home Owner,Home Owner_Probable Renter,Home Owner_Renter,Home Owner_nan,Dwelling Type_Multy-Family Apt,Dwelling Type_PO Box,Dwelling Type_Single-Family Home,Dwelling Type_nan,Education_Graduated School,Education_High School,Education_Some College,Education_Unknown,Education_nan,Gender_Male,Gender_Unknown,Gender_nan,Bought FSV,Total Cost
20390529.0,1,0,95.0,700.0,70.0,0.0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,53.0
20392963.0,1,1,15.0,675.0,99.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,63.0
20399430.0,1,1,105.0,762.5,63.55555555555557,1.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,482.85
20404036.0,1,1,75.0,743.75,93.0,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,217.85
20413299.0,1,0,95.0,775.0,74.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,167.85
20413729.0,1,1,205.0,712.5,68.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,58.85
20414962.0,1,1,155.0,762.5,72.25,0.0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,386.6
20423524.0,1,1,105.0,693.75,74.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,88.0
20423987.0,1,0,45.0,725.0,80.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,30.0
20465033.0,1,1,95.0,687.5,72.0,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,58.85
20495175.0,1,0,105.0,775.0,69.0,1.0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,106.0
20497226.0,1,1,180.0,781.25,73.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,159.0
20499150.0,1,1,15.0,667.8571428571429,86.0,4.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,212.0
20508802.0,1,1,180.0,693.75,65.0,0.0,2,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,170.7
20512968.0,1,0,180.0,743.75,28.5,3.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.0
20513605.0,1,0,15.0,725.0,80.0,1.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,136.0
20515035.0,1,1,35.0,691.6666666666665,56.0,0.0,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,215.85
20545957.0,1,0,95.0,675.0,88.5,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,106.0
20546899.0,1,1,55.0,715.625,72.28571428571429,1.0,4,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,372.70000000000016
20576782.0,1,1,95.0,721.4285714285713,68.25,1.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,507.85
20581224.0,1,1,105.0,712.5,72.0,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,33.0
20583292.0,1,1,205.0,800.0,74.0,1.0,1,6,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,335.55
20584967.0,1,0,15.0,737.5,68.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0
20587686.0,1,1,205.0,775.0,66.0,0.0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,197.85
20596185.0,1,1,115.0,775.0,57.66666666666666,0.0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,276.7
20609857.0,1,0,75.0,775.0,87.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,53.0
20631876.0,1,0,95.0,725.0,67.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0
20656657.0,1,0,75.0,625.0,89.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,34.0
20657439.0,1,0,75.0,825.0,71.0,1.0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.0
20663898.0,1,1,95.0,700.0,61.66666666666666,0.0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,96.5
20667678.0,1,1,15.0,712.5,85.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,53.0
20669025.0,1,0,95.0,725.0,84.0,1.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,30.0
